Event,Zone,Region,Category,Start Date,End Date,Year,Insured Cost,NSW,VIC,QLD,ACT,TAS,SA,NT,WA,Waters
Hail - Brisbane and South East Queensland,Queensland,Brisbane,Storm,1995-11-03,1995-11-06,1995,40000000.0,0,0,1,0,0,0,0,0,0
Hail - Adelaide,South Australia,Adelaide,Storm,1991-01-22,1991-01-22,1991,30000000.0,0,0,0,0,0,1,0,0,0
Hail - Western Sydney,New South Wales,Sydney,Storm,1990-03-18,1990-03-18,1990,319000000.0,1,0,0,0,0,0,0,0,0
Hail - Western Sydney,New South Wales,Sydney,Storm,1986-10-03,1986-10-03,1986,104000000.0,1,0,0,0,0,0,0,0,0
Hail - Orange,New South Wales,Dubbo,Storm,1986-01-21,1986-01-21,1986,25000000.0,1,0,0,0,0,0,0,0,0
Hail - Brighton ,Queensland,Brisbane,Storm,1980-12-16,1980-12-16,1980,15000000.0,0,0,1,0,0,0,0,0,0
Hail - Port Broughton,South Australia,Whyalla,Storm,1979-11-14,1979-11-14,1979,10000000.0,0,0,0,0,0,1,0,0,0
Hail - Toowoomba,Queensland,Brisbane,Storm,1976-01-09,1976-01-09,1976,12000000.0,0,0,1,0,0,0,0,0,0
Hail - Sydney,New South Wales,Sydney,Storm,1947-01-01,1947-01-01,1947,700000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Melbourne,Victoria,Melbourne,Storm,2011-12-25,2011-12-26,2011,680700000.0,0,1,0,0,0,0,0,0,0
"Severe Storm - Melbourne, Victoria",Victoria,Melbourne,Storm,2011-02-04,2011-02-06,2011,418670000.0,0,1,0,0,0,0,0,0,0
Severe Storm - Perth,Western Australia,Perth,Storm,2010-03-22,2010-03-22,2010,1053000000.0,0,0,0,0,0,0,0,1,0
"Severe Storm - Melbourne, Victoria",Victoria,Melbourne,Storm,2010-03-06,2010-03-07,2010,1044000000.0,0,1,0,0,0,0,0,0,0
Severe Storm - South East Queensland,Queensland,Brisbane,Storm,2008-11-16,2008-11-22,2008,309000000.0,0,0,1,0,0,0,0,0,0
Severe Storm - Southern States Windstorms,"South Australia , Tasmania , Victoria",Adelaide,Storm,2008-04-02,2008-04-02,2008,65000000.0,0,1,0,0,1,1,0,0,0
Severe Storm - Southern States Windstorms,"South Australia , Tasmania , Victoria",Mount Gambier (SA),Storm,2008-04-02,2008-04-02,2008,65000000.0,0,1,0,0,1,1,0,0,0
Severe Storm - Southern States Windstorms,"South Australia , Tasmania , Victoria",Murray Bridge (SA),Storm,2008-04-02,2008-04-02,2008,65000000.0,0,1,0,0,1,1,0,0,0
Severe Storm - Southern States Windstorms,"South Australia , Tasmania , Victoria",Hobart,Storm,2008-04-02,2008-04-02,2008,65000000.0,0,1,0,0,1,1,0,0,0
Severe Storm - Southern States Windstorms,"South Australia , Tasmania , Victoria",Launceston,Storm,2008-04-02,2008-04-02,2008,65000000.0,0,1,0,0,1,1,0,0,0
Severe Storm - Southern States Windstorms,"South Australia , Tasmania , Victoria",Melbourne,Storm,2008-04-02,2008-04-02,2008,65000000.0,0,1,0,0,1,1,0,0,0
Severe Storm - South East Queensland and Northern New South Wales,Queensland,Brisbane,Storm,2007-10-07,2007-10-12,2007,97000000.0,0,0,1,0,0,0,0,0,0
Severe Storm - South East Queensland and Northern New South Wales,Queensland,Bundaberg,Storm,2007-10-07,2007-10-12,2007,97000000.0,0,0,1,0,0,0,0,0,0
Severe Storm - South East Queensland and Northern New South Wales,Queensland,Lismore (QLD),Storm,2007-10-07,2007-10-12,2007,97000000.0,0,0,1,0,0,0,0,0,0
Severe Storm - South East Queensland and Northern New South Wales,Queensland,Roma,Storm,2007-10-07,2007-10-12,2007,97000000.0,0,0,1,0,0,0,0,0,0
Severe Storm - New South Wales East Coast Low,New South Wales,Sydney,Storm,2007-06-08,2007-06-10,2007,1480000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Northern New South Wales,New South Wales,Lismore (NSW),Storm,2005-06-30,2005-06-30,2005,25000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Bunbury and South Perth,Western Australia,Bunbury,Storm,2005-05-16,2005-05-16,2005,53200000.0,0,0,0,0,0,0,0,1,0
Severe Storm - Bunbury and South Perth,Western Australia,Perth,Storm,2005-05-16,2005-05-16,2005,53200000.0,0,0,0,0,0,0,0,1,0
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","New South Wales , Australian Capital Territory , Victoria , South Australia",Sydney,Storm,2005-02-01,2005-02-03,2005,216700000.0,1,1,0,1,0,1,0,0,0
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","New South Wales , Australian Capital Territory , Victoria , South Australia",Wollongong,Storm,2005-02-01,2005-02-03,2005,216700000.0,1,1,0,1,0,1,0,0,0
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","New South Wales , Australian Capital Territory , Victoria , South Australia",Canberra (ACT),Storm,2005-02-01,2005-02-03,2005,216700000.0,1,1,0,1,0,1,0,0,0
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","New South Wales , Australian Capital Territory , Victoria , South Australia",Cooma (VIC),Storm,2005-02-01,2005-02-03,2005,216700000.0,1,1,0,1,0,1,0,0,0
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","New South Wales , Australian Capital Territory , Victoria , South Australia",Adelaide,Storm,2005-02-01,2005-02-03,2005,216700000.0,1,1,0,1,0,1,0,0,0
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","New South Wales , Australian Capital Territory , Victoria , South Australia",Melbourne,Storm,2005-02-01,2005-02-03,2005,216700000.0,1,1,0,1,0,1,0,0,0
"Severe Storm - South East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory","Queensland , New South Wales , Western Australia , Northern Territory",Brisbane,Storm,2004-03-03,2004-03-31,2004,28500000.0,1,0,1,0,0,0,1,1,0
"Severe Storm - South East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory","Queensland , New South Wales , Western Australia , Northern Territory",Lismore (NSW),Storm,2004-03-03,2004-03-31,2004,28500000.0,1,0,1,0,0,0,1,1,0
"Severe Storm - South East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory","Queensland , New South Wales , Western Australia , Northern Territory",Broome,Storm,2004-03-03,2004-03-31,2004,28500000.0,1,0,1,0,0,0,1,1,0
"Severe Storm - South East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory","Queensland , New South Wales , Western Australia , Northern Territory",Katherine,Storm,2004-03-03,2004-03-31,2004,28500000.0,1,0,1,0,0,0,1,1,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria , Tasmania",Sydney,Storm,2003-08-24,2003-08-24,2003,25000000.0,1,1,0,1,1,0,0,0,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria , Tasmania",Wollongong,Storm,2003-08-24,2003-08-24,2003,25000000.0,1,1,0,1,1,0,0,0,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria , Tasmania",Canberra (ACT),Storm,2003-08-24,2003-08-24,2003,25000000.0,1,1,0,1,1,0,0,0,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria , Tasmania",Cooma (VIC),Storm,2003-08-24,2003-08-24,2003,25000000.0,1,1,0,1,1,0,0,0,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria , Tasmania",Warrnambool (VIC),Storm,2003-08-24,2003-08-24,2003,25000000.0,1,1,0,1,1,0,0,0,0
